src_ip,dst_ip,src_port,dst_port,protocol,packet_size0,packet_size1,packet_size2,packet_size3,packet_size4,packet_size5,packet_size6,packet_size7,packet_size8,packet_size9,packet_size10,packet_size11,packet_size12,packet_size13,packet_size14,packet_size15
192.168.10.32,23.62.222.56,26703.0,443.0,6.0,70.0,70.0,64.0,277.0,64.0,1518.0,1518.0,1234.0,64.0,1518.0,64.0,427.0,184.0,64.0,332.0,637.0
192.168.10.32,178.79.227.128,26705.0,80.0,6.0,70.0,70.0,64.0,393.0,64.0,64.0,518.0,399.0,64.0,1518.0,1518.0,1518.0,64.0,1518.0,1518.0,64.0
192.168.10.32,178.79.227.128,26706.0,80.0,6.0,70.0,70.0,64.0,405.0,64.0,533.0,1518.0,64.0,1518.0,1518.0,64.0,1518.0,1518.0,64.0,1518.0,1518.0
192.168.10.32,20.42.73.25,26707.0,443.0,6.0,70.0,70.0,64.0,272.0,1518.0,1518.0,64.0,1518.0,171.0,64.0,216.0,109.0,127.0,64.0,145.0,727.0
192.168.10.32,20.42.73.25,26708.0,443.0,6.0,70.0,70.0,64.0,272.0,1518.0,1518.0,64.0,1518.0,171.0,64.0,216.0,109.0,127.0,64.0,145.0,727.0
192.168.10.32,20.42.65.88,26709.0,443.0,6.0,70.0,70.0,64.0,272.0,1518.0,1518.0,1518.0,171.0,64.0,64.0,216.0,109.0,127.0,64.0,145.0,727.0
192.168.10.23,34.117.65.55,58222.0,443.0,6.0,78.0,78.0,70.0,724.0,70.0,282.0,70.0,134.0,240.0,656.0,70.0,101.0,101.0,70.0,70.0,109.0
192.168.10.23,34.117.65.55,58224.0,443.0,6.0,78.0,78.0,70.0,715.0,70.0,288.0,70.0,134.0,606.0,70.0,868.0,70.0,156.0,70.0,207.0,70.0
192.168.10.23,142.251.36.106,48842.0,443.0,6.0,78.0,78.0,70.0,723.0,76.0,600.0,70.0,70.0,70.0,824.0,132.0,101.0,70.0,70.0,70.0,309.0
192.168.10.135,3.127.6.122,49334.0,443.0,6.0,78.0,78.0,70.0,342.0,70.0,197.0,108.0,70.0,1518.0,70.0,1518.0,70.0,356.0,128.0,1518.0,714.0
192.168.10.32,104.208.16.88,26710.0,443.0,6.0,70.0,70.0,64.0,272.0,1518.0,1518.0,1518.0,171.0,64.0,64.0,216.0,109.0,127.0,64.0,145.0,727.0
192.168.10.32,40.70.229.150,26711.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,207.0,96.0,712.0,96.0
192.168.10.32,52.184.213.187,26712.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1029.0,64.0,216.0,109.0,127.0,64.0,145.0,96.0,208.0,712.0,96.0
192.168.10.135,35.159.42.141,44184.0,443.0,6.0,78.0,78.0,70.0,342.0,70.0,197.0,76.0,102.0,70.0,70.0,1518.0,70.0,1518.0,70.0,356.0,128.0
192.168.10.32,52.184.216.246,26713.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1029.0,64.0,216.0,109.0,127.0,64.0,145.0,208.0,96.0,710.0,96.0
192.168.10.23,142.251.36.106,48844.0,443.0,6.0,78.0,78.0,70.0,723.0,76.0,600.0,70.0,70.0,70.0,824.0,132.0,101.0,70.0,70.0,70.0,309.0
192.168.10.32,52.179.216.235,26714.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,208.0,96.0,709.0,64.0
192.168.10.32,52.184.216.246,26715.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1029.0,64.0,216.0,109.0,127.0,64.0,145.0,96.0,208.0,709.0,64.0
192.168.10.32,20.50.73.9,26716.0,443.0,6.0,70.0,70.0,64.0,272.0,1518.0,1518.0,1518.0,171.0,64.0,64.0,216.0,109.0,127.0,64.0,145.0,727.0
192.168.10.23,34.117.65.55,58230.0,443.0,6.0,78.0,78.0,70.0,724.0,70.0,282.0,70.0,134.0,240.0,656.0,70.0,101.0,101.0,70.0,70.0,109.0
192.168.10.23,34.117.65.55,58232.0,443.0,6.0,78.0,78.0,70.0,715.0,70.0,288.0,70.0,134.0,606.0,70.0,868.0,70.0,156.0,70.0,207.0,70.0
192.168.10.135,3.127.6.122,50508.0,443.0,6.0,78.0,78.0,70.0,342.0,70.0,197.0,76.0,102.0,70.0,70.0,1518.0,70.0,1518.0,70.0,356.0,128.0
192.168.10.32,52.184.216.246,26718.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,96.0,208.0,710.0,96.0
192.168.10.32,52.184.216.246,26719.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1029.0,64.0,216.0,109.0,127.0,64.0,145.0,96.0,208.0,709.0,64.0
192.168.10.23,142.251.36.106,48850.0,443.0,6.0,78.0,78.0,70.0,723.0,76.0,600.0,70.0,70.0,70.0,824.0,132.0,101.0,70.0,70.0,70.0,154.0
192.168.10.32,52.179.216.235,26720.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1031.0,64.0,216.0,109.0,127.0,64.0,145.0,208.0,96.0,709.0,96.0
192.168.10.32,40.70.229.150,26721.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,207.0,96.0,712.0,64.0
192.168.10.32,52.184.214.53,26722.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,96.0,210.0,709.0,64.0
192.168.10.32,52.184.214.53,26723.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,96.0,209.0,710.0,64.0
192.168.10.32,40.70.229.150,26724.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1031.0,64.0,216.0,109.0,127.0,64.0,145.0,96.0,208.0,709.0,96.0
192.168.10.135,35.159.42.141,44888.0,443.0,6.0,78.0,78.0,70.0,342.0,70.0,197.0,76.0,102.0,70.0,70.0,1518.0,70.0,1518.0,70.0,356.0,1518.0
192.168.10.32,20.42.65.88,26725.0,443.0,6.0,70.0,70.0,64.0,272.0,1518.0,1518.0,1518.0,171.0,64.0,216.0,109.0,127.0,64.0,145.0,727.0,96.0
192.168.10.23,142.251.36.106,48852.0,443.0,6.0,78.0,78.0,70.0,723.0,76.0,600.0,70.0,70.0,70.0,824.0,132.0,70.0,70.0,101.0,70.0,308.0
192.168.10.32,52.184.214.53,26726.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1029.0,64.0,216.0,109.0,127.0,64.0,145.0,209.0,96.0,710.0,64.0
192.168.10.135,35.159.42.141,45148.0,443.0,6.0,78.0,78.0,70.0,342.0,70.0,197.0,108.0,70.0,70.0,1518.0,1518.0,70.0,356.0,128.0,1518.0,714.0
192.168.10.32,52.184.214.53,26727.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,210.0,709.0,96.0,64.0
192.168.10.32,40.70.229.150,26728.0,443.0,6.0,70.0,70.0,64.0,280.0,1518.0,1030.0,64.0,216.0,109.0,127.0,64.0,145.0,208.0,709.0,96.0,64.0
192.168.10.32,52.168.117.168,26729.0,443.0,6.0,70.0,70.0,64.0,272.0,1518.0,1518.0,1518.0,171.0,64.0,216.0,109.0,127.0,64.0,145.0,727.0,96.0
