src_ip,dst_ip,src_port,dst_port,protocol,DFT_Real_0,DFT_Real_1,DFT_Real_2,DFT_Real_3,DFT_Real_4,DFT_Imag_0,DFT_Imag_1,DFT_Imag_2,DFT_Imag_3,DFT_Imag_4,DFT_Real_5,DFT_Real_6,DFT_Real_7,DFT_Real_8,DFT_Real_9,DFT_Imag_5,DFT_Imag_6,DFT_Imag_7,DFT_Imag_8,DFT_Imag_9,DFT_Real_10,DFT_Real_11,DFT_Real_12,DFT_Real_13,DFT_Real_14,DFT_Imag_10,DFT_Imag_11,DFT_Imag_12,DFT_Imag_13,DFT_Imag_14,DFT_Real_15,DFT_Real_16,DFT_Real_17,DFT_Real_18,DFT_Real_19,DFT_Imag_15,DFT_Imag_16,DFT_Imag_17,DFT_Imag_18,DFT_Imag_19,DFT_Real_20,DFT_Real_21,DFT_Real_22,DFT_Real_23,DFT_Real_24,DFT_Imag_20,DFT_Imag_21,DFT_Imag_22,DFT_Imag_23,DFT_Imag_24
192.168.10.32,20.199.120.182,26186.0,443.0,6.0,0.27041043837865186,-0.08333280178912508,-0.08337270220120747,-0.08328360319137573,0.239794780810674,0.0,9.914320589527229e-06,1.3593039293934464e-06,-3.7193298339842015e-05,-0.006977513546094532,0.35374377171198523,5.417491082338173e-06,-1.8507242202754164e-05,-3.7193298339842015e-05,-0.16760676105817157,0.0,8.320281387671236e-06,3.477409166194005e-05,-4.973014195760033e-05,-0.27634839875262085,0.35443319876988727,0.0006059131717954277,0.0003655751546223999,-4.973014195760033e-05,-0.1558660666147868,0.0,-0.0003402166994438192,-0.0005636465584669648,-0.0006522337595621748,0.2827288509525159,0.355066180229187,0.0009028058734186361,1.1146068572996275e-05,-0.0006522337595621748,0.3224669098854065,0.0,-0.0009140836200576151,-0.001146598674007006,-0.0005832513173421166,-0.00692863022377312,0.355066180229187,0.00032481101103752966,-0.000987410545349121,-0.0005832513173421166,-0.16723382472991943,0.0,-0.0012430225728624555,-0.0005829521155400412,0.0006522337595621748,-0.2758002207287428
192.168.10.135,131.130.37.53,49662.0,22.0,6.0,0.2506615718205769,-0.08330569752058675,-0.08331435918807982,-0.08332900206247965,0.24966921408971154,0.0,2.6477730297129604e-05,3.78884462343365e-05,3.155072530110835e-05,0.00038112129159422007,0.3339949051539103,3.717218104132813e-05,4.229942957560834e-05,3.155072530110835e-05,-0.1661712129910787,0.0,9.112480698579878e-06,2.5121313125377106e-06,-4.331270853683341e-06,-0.28857922623908616,0.3339906533559163,3.3066128370605085e-05,2.1199385325112493e-05,-4.331270853683341e-06,-0.16682920853296918,0.0,-8.568551747206839e-06,-3.169414984724948e-05,-2.7298927307124993e-05,0.2882017871125665,0.3339911500612894,2.478199077146762e-05,-1.659989356994582e-05,-2.7298927307124993e-05,0.3330044249693553,0.0,-2.4202000358591876e-05,-3.463644063111689e-05,3.834565480550004e-06,0.00037700896704834106,0.33399115006128943,9.360833385146546e-06,-3.829598426819165e-05,3.834565480550004e-06,-0.16617571314175925,0.0,-3.3350542518674466e-05,-2.9422907838674057e-06,2.7298927307124993e-05,-0.2885787960796149
192.168.10.30,128.130.135.23,1883.0,34240.0,6.0,0.2519134084383646,-0.08322933629972301,-0.08327371875445047,-0.08341658115386963,0.24904329578081766,0.0,8.523756627340697e-05,0.00018973473961216724,0.00013365348180134997,0.0008321521004682241,0.335246741771698,0.0001326828561614653,0.00019412239392598745,0.00013365348180134997,-0.16546764969825745,0.0,2.1819380944369777e-05,4.3239630057624194e-05,8.324782053629998e-05,-0.28826268048732734,0.33510758479436237,5.302937068191097e-06,6.492932637532916e-05,8.324782053629998e-05,-0.16683940092722577,0.0,2.213319877974999e-05,-2.598163206804371e-05,5.503495534266669e-06,0.28755104186434555,0.33504724502563465,-3.6596694971002424e-05,-2.0205974578854183e-05,5.503495534266669e-06,0.3324763774871826,0.0,4.6686328239991184e-05,-1.6965489549066823e-05,-2.2908051808674983e-05,0.0007638943955583257,0.33504724502563477,-8.35050341944271e-06,-2.479553222655836e-05,-2.2908051808674983e-05,-0.16557663679122925,0.0,5.872989375075241e-05,9.016142518976888e-06,-5.503495534266669e-06,-0.2883149362599039
192.168.10.135,131.130.37.53,49660.0,22.0,6.0,0.2506993214289347,-0.08324097277435166,-0.08329218626022339,-0.08335665861765543,0.24965033928553265,0.0,3.3505837035488866e-05,8.403595431811508e-05,8.869171142577502e-05,0.00038480345666875486,0.33403265476226807,9.673950890360495e-05,9.335080782572915e-05,8.869171142577502e-05,-0.16615858674049377,0.0,-1.7163373443042042e-05,6.383566554468871e-06,2.3325284322100004e-05,-0.2885647212617131,0.33394505580266315,-6.657388242985084e-07,8.40425491333333e-06,2.3325284322100004e-05,-0.16678128639856976,0.0,-1.9434192065666066e-05,-1.7894634007159605e-06,-1.0927518208750012e-06,0.2882557807294073,0.33393863836924226,-1.585130313648363e-05,-5.563100179041788e-07,-1.0927518208750012e-06,0.33303068081537884,0.0,-1.3288917908335199e-05,-2.615369585662331e-06,-1.690785090128334e-05,0.0003144981926753472,0.3339386383692423,-2.0372090153450373e-05,-2.5431315104208496e-06,-1.690785090128334e-05,-0.16624297698338827,0.0,-3.582888929182435e-06,-8.259061849463708e-07,1.0927518208750012e-06,-0.2885702789220826
192.168.10.135,131.130.37.53,49658.0,22.0,6.0,0.250772754351298,-0.08335270287688834,-0.08326178789138793,-0.08332852522532144,0.24961362282435098,0.0,5.567986744036188e-06,0.00013341826162626032,-1.8596649169924982e-05,0.00045359455932310035,0.33410608768463135,-1.3990523406331985e-05,0.00015131632486979998,-1.8596649169924982e-05,-0.16608065366744995,0.0,1.4506789745776651e-05,4.748960563429023e-06,-4.80810801189167e-06,-0.28856731942491987,0.3340300917625427,-7.067715292200817e-05,4.177292188008747e-05,-4.80810801189167e-06,-0.16682830452919006,0.0,5.755647119468066e-05,-6.28549019500591e-05,9.459257125854998e-05,0.2881795392647095,0.33402134974797565,-4.000078099559522e-05,-3.7918488184612484e-05,9.459257125854998e-05,0.33298932512601215,0.0,8.955494995130982e-05,-6.003305581816922e-05,1.355012257894167e-05,0.000395350966905647,0.33402134974797565,1.0135782462251652e-05,-7.094939549764998e-05,1.355012257894167e-05,-0.16615227858225506,0.0,9.75572521902759e-05,2.8218461318898907e-06,-9.459257125854998e-05,-0.2885748902316152
192.168.10.135,131.130.37.53,49672.0,22.0,6.0,0.25066341956456495,-0.08335228093152341,-0.08333447575569153,-0.08333315451939899,0.24966829021771753,0.0,-1.3265968147949263e-05,9.308650959483389e-06,-2.106030782063333e-05,0.0003698511134454846,0.3339967528978983,-2.304208544727879e-05,7.49031702677917e-06,-2.106030782063333e-05,-0.16618051131566366,0.0,-2.014866326882251e-06,5.643692263787003e-06,-1.7881393433334566e-07,-0.2885727910533951,0.3339943488438924,-2.30444363581715e-05,7.430712382000008e-06,-1.7881393433334566e-07,-0.1668199102083842,0.0,1.0978144302300353e-05,-1.5829868544811637e-06,2.346436182657499e-05,0.28820502191179087,0.3339915871620177,-1.6859681811487506e-05,9.636084238666646e-07,2.346436182657499e-05,0.3330042064189911,0.0,2.241041096858508e-05,-4.834992457700757e-06,2.9404958089250126e-06,0.00037016082826483673,0.3339915871620178,-3.3957072641780836e-06,-3.705422083541681e-06,2.9404958089250126e-06,-0.1661815345287323,0.0,2.7837826113787866e-05,-3.2520056032195933e-06,-2.346436182657499e-05,-0.28857518274005567
192.168.10.135,131.130.37.53,35040.0,22.0,6.0,0.25067800283432,-0.08333638491302045,-0.08331641554832458,-0.08332592248916626,0.24966099858283997,0.0,3.6640168607029177e-06,2.524175777736899e-05,4.609425862633341e-06,0.00045295792330555027,0.3340113361676534,-8.10737100369766e-07,3.0318895975749963e-05,4.609425862633341e-06,-0.16610489288965863,0.0,4.698921524824817e-06,-2.0303527046565306e-06,-7.410844167066667e-06,-0.28860802971728616,0.3340069850285848,-2.120855131112128e-06,1.1225541432695819e-05,-7.410844167066667e-06,-0.1668872634569804,0.0,6.650323495376854e-06,-2.3503913513211753e-05,-2.582867940250009e-07,0.2881588399909494,0.33401083946228016,4.82648482388283e-06,-1.2814998626708317e-05,-2.582867940250009e-07,0.33299458026885986,0.0,4.8925598081994435e-06,-2.4811598306039305e-05,3.5564104715916685e-06,0.0004458516888392524,0.3340108394622803,6.6261383725623145e-06,-2.789497375487914e-05,3.5564104715916685e-06,-0.16611117124557495,0.0,1.8238386714940243e-06,-1.3076847928275506e-06,2.582867940250009e-07,-0.28860469167978864
192.168.10.135,131.130.37.53,49656.0,22.0,6.0,0.2505625089009602,-0.08333877113610574,-0.0833375056584676,-0.08332459131876627,0.24971874554951984,0.0,3.5888097007900614e-06,-1.8927016738261253e-06,-1.9073486328083347e-06,0.00034670853388819086,0.3338958422342936,-2.9148704912903947e-06,-3.725290298454169e-06,-1.9073486328083347e-06,-0.16622578104337057,0.0,5.82690175644237e-06,2.6669887222137966e-06,-8.742014567066658e-06,-0.2886049153627137,0.3339020013809204,5.723076428449676e-06,3.5266081492083397e-06,-8.742014567066658e-06,-0.16682937741279602,0.0,3.4241068786887883e-06,-7.742870483876951e-07,-4.2517979939750005e-06,0.2882528728513811,0.33390299479166663,7.528701956833902e-06,1.5894571940083224e-06,-4.2517979939750005e-06,0.33304850260416663,0.0,-3.928800451364748e-07,-4.301594713253668e-06,7.748603820808325e-06,0.0003511821923899663,0.33390299479166663,6.323607129571536e-06,-2.9305617014583522e-06,7.748603820808325e-06,-0.1662201186021169,0.0,-4.1045950781451135e-06,-3.5273076648659725e-06,4.2517979939750005e-06,-0.28860405504377107
192.168.10.22,128.130.2.3,123.0,123.0,17.0,0.9166666666666666,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.10.23,142.251.36.106,48816.0,443.0,6.0,0.004463911056518521,-0.00016152358011867928,0.0009087622165679945,-0.0014977653821309379,0.0020616352558136012,0.0,-0.0004293824764223869,0.0013553292558728819,0.0027829607327778984,0.0013243233611797752,0.004466990629831916,-0.00035190777318196403,0.00162967046101887,0.0027829607327778984,0.00011454025904338171,0.0,-0.00029263412911901773,-0.00011201352633311502,0.0014946858088175426,-0.002450257174184313,0.0029095808664957416,-0.0017998345550753391,-6.087621053060696e-05,0.0014946858088175426,-0.001400550206502291,0.0,0.0007012301784276645,-0.00011858636305495926,-0.0012255509694417241,0.002474690232155575,0.002901156743367492,-0.001215382862724146,-0.00013734896977742733,-0.0012255509694417241,0.0028476317723592085,0.0,0.0015114124875204465,7.226679118278538e-07,-0.0014862616856892931,-1.713755333758993e-05,0.002833425998687724,-0.00035550273619305893,-0.00010191400845845475,-0.0014862616856892931,-0.001404792070388784,0.0,0.0019504784134916943,0.00017796557647670365,0.0012932817141214916,-0.0023988961333080688
