timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,tcp_window_size,interval_time,direction
1697416048.143328,192.168.10.32,104.208.16.90,26737.0,443.0,6.0,171.0,2052.0,1.1920928955078123e-05,1.0
1697416048.143707,192.168.10.32,104.208.16.90,26737.0,443.0,6.0,64.0,1029.0,0.0003790855407714,1.0
1697416048.151304,192.168.10.32,104.208.16.90,26737.0,443.0,6.0,216.0,1029.0,0.0075969696044921,1.0
1697416048.284792,192.168.10.32,104.208.16.90,26737.0,443.0,6.0,109.0,2051.0,0.1334879398345947,1.0
1697416048.286442,192.168.10.32,104.208.16.90,26737.0,443.0,6.0,127.0,2051.0,0.0016500949859619,1.0
1697416048.286716,192.168.10.32,104.208.16.90,26737.0,443.0,6.0,64.0,1028.0,0.0002739429473876,1.0
1697416048.294299,192.168.10.32,104.208.16.90,26737.0,443.0,6.0,145.0,1028.0,0.0075829029083251,1.0
1697416048.294489,192.168.10.32,104.208.16.90,26737.0,443.0,6.0,727.0,1028.0,0.0001900196075439,1.0
1697416048.294773,192.168.10.32,104.208.16.90,26737.0,443.0,6.0,96.0,1028.0,0.000284194946289,1.0
,,,,,,,,,
1697416514.26082,192.168.10.32,40.70.229.150,26738.0,443.0,6.0,70.0,64240.0,0.0,1.0
1697416514.360751,192.168.10.32,40.70.229.150,26738.0,443.0,6.0,70.0,65535.0,0.099931001663208,1.0
1697416514.361093,192.168.10.32,40.70.229.150,26738.0,443.0,6.0,64.0,1029.0,0.0003421306610107,1.0
1697416514.361627,192.168.10.32,40.70.229.150,26738.0,443.0,6.0,280.0,1029.0,0.0005340576171875,1.0
1697416514.462083,192.168.10.32,40.70.229.150,26738.0,443.0,6.0,1518.0,2052.0,0.1004559993743896,1.0
1697416514.462095,192.168.10.32,40.70.229.150,26738.0,443.0,6.0,1031.0,2052.0,1.1920928955078123e-05,1.0
1697416514.462426,192.168.10.32,40.70.229.150,26738.0,443.0,6.0,64.0,1029.0,0.0003309249877929,1.0
1697416514.467641,192.168.10.32,40.70.229.150,26738.0,443.0,6.0,216.0,1029.0,0.0052151679992675,1.0
1697416514.591745,192.168.10.32,40.70.229.150,26738.0,443.0,6.0,109.0,2051.0,0.1241037845611572,1.0
1697416514.591759,192.168.10.32,40.70.229.150,26738.0,443.0,6.0,127.0,2051.0,1.4066696166992188e-05,1.0
1697416514.592084,192.168.10.32,40.70.229.150,26738.0,443.0,6.0,64.0,1028.0,0.0003249645233154,1.0
1697416514.593177,192.168.10.32,40.70.229.150,26738.0,443.0,6.0,145.0,1028.0,0.0010931491851806,1.0
1697416514.59323,192.168.10.32,40.70.229.150,26738.0,443.0,6.0,207.0,1028.0,5.292892456054688e-05,1.0
1697416514.593266,192.168.10.32,40.70.229.150,26738.0,443.0,6.0,96.0,1028.0,3.600120544433594e-05,1.0
1697416514.593332,192.168.10.32,40.70.229.150,26738.0,443.0,6.0,712.0,1028.0,6.604194641113281e-05,1.0
1697416514.69224,192.168.10.32,40.70.229.150,26738.0,443.0,6.0,64.0,2048.0,0.0989079475402832,1.0
,,,,,,,,,
1697416603.37037,192.168.10.32,52.179.216.235,26739.0,443.0,6.0,70.0,64240.0,0.0,1.0
1697416603.472066,192.168.10.32,52.179.216.235,26739.0,443.0,6.0,70.0,65535.0,0.1016960144042968,1.0
1697416603.472392,192.168.10.32,52.179.216.235,26739.0,443.0,6.0,64.0,1029.0,0.0003261566162109,1.0
1697416603.473013,192.168.10.32,52.179.216.235,26739.0,443.0,6.0,280.0,1029.0,0.0006208419799804,1.0
1697416603.576821,192.168.10.32,52.179.216.235,26739.0,443.0,6.0,1518.0,2052.0,0.1038081645965576,1.0
1697416603.576833,192.168.10.32,52.179.216.235,26739.0,443.0,6.0,1030.0,2052.0,1.1920928955078123e-05,1.0
1697416603.577327,192.168.10.32,52.179.216.235,26739.0,443.0,6.0,64.0,1029.0,0.0004940032958984,1.0
1697416603.583662,192.168.10.32,52.179.216.235,26739.0,443.0,6.0,216.0,1029.0,0.0063350200653076,1.0
1697416603.695801,192.168.10.32,52.179.216.235,26739.0,443.0,6.0,109.0,2051.0,0.1121389865875244,1.0
1697416603.695815,192.168.10.32,52.179.216.235,26739.0,443.0,6.0,127.0,2051.0,1.4066696166992188e-05,1.0
1697416603.696122,192.168.10.32,52.179.216.235,26739.0,443.0,6.0,64.0,1028.0,0.0003068447113037,1.0
1697416603.697323,192.168.10.32,52.179.216.235,26739.0,443.0,6.0,145.0,1028.0,0.0012011528015136,1.0
1697416603.697385,192.168.10.32,52.179.216.235,26739.0,443.0,6.0,208.0,1028.0,6.198883056640625e-05,1.0
1697416603.69745,192.168.10.32,52.179.216.235,26739.0,443.0,6.0,96.0,1028.0,6.4849853515625e-05,1.0
1697416603.697526,192.168.10.32,52.179.216.235,26739.0,443.0,6.0,709.0,1028.0,7.605552673339844e-05,1.0
1697416603.797598,192.168.10.32,52.179.216.235,26739.0,443.0,6.0,64.0,2050.0,0.100071907043457,1.0
,,,,,,,,,
1697417044.626251,192.168.10.23,142.251.36.106,48860.0,443.0,6.0,78.0,64240.0,0.0,1.0
1697417044.645089,192.168.10.23,142.251.36.106,48860.0,443.0,6.0,78.0,65535.0,0.0188379287719726,1.0
1697417044.645249,192.168.10.23,142.251.36.106,48860.0,443.0,6.0,70.0,502.0,0.0001599788665771,1.0
1697417044.647007,192.168.10.23,142.251.36.106,48860.0,443.0,6.0,723.0,502.0,0.0017580986022949,1.0
1697417044.647185,192.168.10.23,142.251.36.106,48860.0,443.0,6.0,76.0,502.0,0.0001780986785888,1.0
1697417044.647409,192.168.10.23,142.251.36.106,48860.0,443.0,6.0,601.0,502.0,0.0002238750457763,1.0
1697417044.665138,192.168.10.23,142.251.36.106,48860.0,443.0,6.0,70.0,262.0,0.0177290439605712,1.0
