timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,tcp_window_size,interval_time,direction
1697401879.491854,192.168.10.135,131.130.37.53,49660,22,6,70,296,0.0003490447998046875,1
1697401939.552447,192.168.10.135,131.130.37.53,49660,22,6,122,296,60.060593128204346,1
1697401939.553953,131.130.37.53,192.168.10.135,22,49660,6,98,501,0.0015058517456054688,0
1697401939.554346,192.168.10.135,131.130.37.53,49660,22,6,70,296,0.00039315223693847656,1
1697401999.568125,192.168.10.135,131.130.37.53,49660,22,6,122,296,60.01377892494202,1
1697401999.570925,131.130.37.53,192.168.10.135,22,49660,6,98,501,0.00279998779296875,0
1697401999.571331,192.168.10.135,131.130.37.53,49660,22,6,70,296,0.00040602684020996094,1
1697402059.605851,192.168.10.135,131.130.37.53,49660,22,6,122,296,60.03451991081238,1
1697402059.607504,131.130.37.53,192.168.10.135,22,49660,6,98,501,0.0016529560089111328,0
1697402059.607838,192.168.10.135,131.130.37.53,49660,22,6,70,296,0.00033402442932128906,1
1697402119.642027,192.168.10.135,131.130.37.53,49660,22,6,122,296,60.034188985824585,1
,,,,,,,,,
1697401823.341242,192.168.10.150,192.168.10.255,5513,5512,17,64,0,0.0,1
1697401887.248237,192.168.10.150,192.168.10.255,5513,5512,17,64,0,63.90699481964111,1
1697401951.155179,192.168.10.150,192.168.10.255,5513,5512,17,64,0,63.90694212913513,1
1697402015.062202,192.168.10.150,192.168.10.255,5513,5512,17,64,0,63.90702295303345,1
1697402078.969096,192.168.10.150,192.168.10.255,5513,5512,17,64,0,63.90689396858215,1
1697402142.876065,192.168.10.150,192.168.10.255,5513,5512,17,64,0,63.90696907043457,1
1697402206.783025,192.168.10.150,192.168.10.255,5513,5512,17,64,0,63.906960010528564,1
1697402270.690087,192.168.10.150,192.168.10.255,5513,5512,17,64,0,63.90706205368042,1
1697402334.596958,192.168.10.150,192.168.10.255,5513,5512,17,64,0,63.90687084197998,1
1697402398.503905,192.168.10.150,192.168.10.255,5513,5512,17,64,0,63.90694713592529,1
1697402462.410878,192.168.10.150,192.168.10.255,5513,5512,17,64,0,63.906972885131836,1
1697402526.317886,192.168.10.150,192.168.10.255,5513,5512,17,64,0,63.90700817108154,1
1697402590.224789,192.168.10.150,192.168.10.255,5513,5512,17,64,0,63.90690279006958,1
1697402654.131742,192.168.10.150,192.168.10.255,5513,5512,17,64,0,63.90695309638977,1
1697402718.038692,192.168.10.150,192.168.10.255,5513,5512,17,64,0,63.90694999694824,1
1697402781.945718,192.168.10.150,192.168.10.255,5513,5512,17,64,0,63.907026052474976,1
,,,,,,,,,
1697401825.4972,192.168.10.135,131.130.37.53,49672,22,6,122,296,0.0,1
1697401825.498719,131.130.37.53,192.168.10.135,22,49672,6,98,501,0.0015189647674560547,0
1697401825.499045,192.168.10.135,131.130.37.53,49672,22,6,70,296,0.00032591819763183594,1
1697401885.559552,192.168.10.135,131.130.37.53,49672,22,6,122,296,60.06050705909729,1
1697401885.561204,131.130.37.53,192.168.10.135,22,49672,6,98,501,0.0016520023345947266,0
