src_ip,dst_ip,src_port,dst_port,protocol,DFT_Mod_0,DFT_Mod_1,DFT_Mod_2,DFT_Mod_3,DFT_Mod_4,DFT_Mod_5,DFT_Mod_6,DFT_Mod_7,DFT_Mod_8,DFT_Mod_9,DFT_Mod_10,DFT_Mod_11,DFT_Mod_12,DFT_Mod_13,DFT_Mod_14,DFT_Mod_15,DFT_Mod_16,DFT_Mod_17,DFT_Mod_18,DFT_Mod_19,DFT_Mod_20,DFT_Mod_21,DFT_Mod_22,DFT_Mod_23,DFT_Mod_24
192.168.10.32,20.199.120.182,26186.0,443.0,6.0,0.27041043837865186,0.08333280237889135,0.08337270221228847,0.08328361149638008,0.23989627466745939,0.35374377171198523,9.928559411981277e-06,3.9392327487271084e-05,6.210014863524543e-05,0.323203440336808,0.35443319876988727,0.000694894361997305,0.0006718203900960771,0.0006541268715866455,0.3228464555836026,0.355066180229187,0.0012847596310348564,0.0011466528481102107,0.0008749805576662393,0.32254133671177815,0.355066180229187,0.0012847596310348564,0.0011466528481102107,0.0008749805576662393,0.32254133671177815
192.168.10.135,131.130.37.53,49662.0,22.0,6.0,0.2506615718205769,0.08330570172840329,0.08331436780324711,0.08332900803547948,0.24966950498131146,0.3339949051539103,3.8272814736458375e-05,4.23739607088278e-05,3.184663521055192e-05,0.3330027655195616,0.3339906533559163,3.415829217724293e-05,3.813047433094033e-05,2.764039325566229e-05,0.3330048872233169,0.3339911500612894,3.4639340177814986e-05,3.84088464565966e-05,2.756692446654723e-05,0.3330046383835099,0.33399115006128943,3.4639340177814986e-05,3.84088464565966e-05,2.756692446654723e-05,0.33300463838350997
128.130.135.23,192.168.10.30,34240.0,1883.0,6.0,0.2519134084383646,0.08322937994683785,0.08327393490442692,0.08341668822635741,0.24904468605149993,0.335246741771698,0.0001344649608781396,0.00019887978638131237,0.00015745936879610497,0.3323776708180081,0.33510758479436237,2.275960522006306e-05,6.993470260516743e-05,8.342953965556624e-05,0.33244696927333567,0.33504724502563465,5.932058097602208e-05,2.6383882282954437e-05,2.3559866314659558e-05,0.3324772550440814,0.33504724502563477,5.9320580976022067e-05,2.6383882282954437e-05,2.3559866314659558e-05,0.3324772550440813
192.168.10.135,131.130.37.53,49660.0,22.0,6.0,0.2506993214289347,0.0832409795176719,0.08329222865339458,0.08335670580175314,0.24965063584754163,0.33403265476226807,9.825026193784922e-05,9.356881555129118e-05,9.170762544270653e-05,0.3329838949625768,0.33394505580266315,1.9445591516520557e-05,8.59265267020548e-06,2.3350867119848674e-05,0.33302761539650416,0.33393863836924226,2.0684756471836154e-05,2.6738808697524468e-06,1.6943126294815057e-05,0.33303082931384587,0.3339386383692423,2.0684756471836154e-05,2.6738808697524464e-06,1.6943126294815057e-05,0.3330308293138458
192.168.10.135,131.130.37.53,49658.0,22.0,6.0,0.250772754351298,0.08335270306285995,0.08326189478568818,0.0833285273004533,0.2496140349570144,0.33410608768463135,2.0153949833997647e-05,0.0001513908279868231,1.9208156158342953e-05,0.332947265137726,0.3340300917625427,9.114827108368558e-05,7.546996555949548e-05,9.471468967355525e-05,0.3329851799148191,0.33402134974797565,9.808237120420357e-05,7.10054894854899e-05,9.555815171511116e-05,0.33298955982172185,0.33402134974797565,9.808237120420358e-05,7.100548948548992e-05,9.555815171511116e-05,0.33298955982172185
192.168.10.135,131.130.37.53,49672.0,22.0,6.0,0.25066341956456495,0.08335228198719885,0.08333447627559029,0.08333315718062405,0.24966856416073796,0.3339967528978983,2.31300105506872e-05,9.378491964595759e-06,2.1061066922711707e-05,0.3330018289401454,0.3339943488438924,2.552578499063146e-05,7.597455750806872e-06,2.346504315682248e-05,0.3330030286605652,0.3339915871620177,2.8044168566129416e-05,4.9300804517340285e-06,2.3647891904580735e-05,0.3330044121506212,0.3339915871620178,2.8044168566129423e-05,4.9300804517340285e-06,2.3647891904580735e-05,0.33300441215062115
192.168.10.135,131.130.37.53,35040.0,22.0,6.0,0.25067800283432,0.08333638499356762,0.08331641937197876,0.08332592261665843,0.2496614094814437,0.3340113361676534,4.7683496245952805e-06,3.0386802814604458e-05,8.72739468866048e-06,0.33299463998565937,0.3340069850285848,6.9803172621540686e-06,2.6047010018305528e-05,7.4153437773655335e-06,0.3329968104488227,0.33401083946228016,6.872561184302389e-06,2.7925608324668394e-05,3.5657772659568332e-06,0.3329948787476507,0.3340108394622803,6.872561184302388e-06,2.792560832466839e-05,3.5657772659568332e-06,0.3329948787476507
192.168.10.135,131.130.37.53,49656.0,22.0,6.0,0.2505625089009602,0.08333877121337803,0.08333750567996044,0.08332459134059642,0.24971898623379302,0.3338958422342936,6.515309206801063e-06,4.58155177338119e-06,8.947669947974246e-06,0.3330522593452831,0.3339020013809204,6.6691912345171346e-06,3.610607354914627e-06,9.721142158839952e-06,0.3330491853690917,0.33390299479166663,7.538946072542306e-06,4.585857744051456e-06,8.838475397568023e-06,0.33304868775572416,0.33390299479166663,7.538946072542305e-06,4.585857744051456e-06,8.838475397568023e-06,0.33304868775572416
128.130.2.3,192.168.10.22,123.0,123.0,17.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
192.168.10.23,142.251.36.106,48816.0,443.0,6.0,0.004463911056518521,0.00045875830018973725,0.0016317984428496413,0.003160406869390954,0.0024503412605145656,0.004466990629831916,0.00045768309380086846,0.001633515485570625,0.0031589485762297947,0.002452932875270626,0.0029095808664957416,0.0019316128465044276,0.00013329905667771767,0.0019328892481930001,0.002843524683567882,0.002901156743367492,0.001939464671097745,0.00013735087093947178,0.0019263823548422386,0.002847683340310865,0.002833425998687724,0.0019826114689817137,0.00020508098773595627,0.001970165320583276,0.00277995385203201
