src_ip,dst_ip,src_port,dst_port,protocol,time0,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15
128.130.135.23,192.168.10.30,39808.0,1883.0,6.0,0.0,0.0046889781951904,0.0010590553283691,1.0,0.003741979598999,0.0010769367218017,1.0,0.0085968971252441,0.0023219585418701,1.0,0.0058438777923583,0.0032730102539062,1.0,0.0044519901275634,0.0013360977172851,59.99643397331238
128.131.67.19,192.168.10.22,50414.0,22.0,6.0,0.0,0.0100729465484619,0.01055908203125,0.0035738945007324,0.0510079860687255,0.6407291889190674,0.0513949394226074,0.0750248432159423,0.0111520290374755,0.0105321407318115,0.0038189888000488,0.050765037536621,0.6585488319396973,0.0124709606170654,0.0096991062164306,0.0121819972991943
192.168.10.135,3.127.6.122,48380.0,443.0,6.0,0.0,0.0172169208526611,0.0003859996795654,0.0094039440155029,0.0153319835662841,0.0006980895996093,2.5033950805664062e-05,2.5987625122070312e-05,0.0002269744873046,9.5367431640625e-07,2.002716064453125e-05,7.295608520507812e-05,4.601478576660156e-05,0.0001020431518554,3.814697265625e-05,1.1920928955078123e-05
128.131.67.19,192.168.10.22,18928.0,22.0,6.0,0.0,0.0634660720825195,0.014617919921875,0.0622241497039794,0.1156508922576904,0.0632610321044921,0.0630021095275878,0.2323148250579834,0.0290579795837402,0.0413269996643066,0.05727219581604,0.0002138614654541,0.0002110004425048,2.5987625122070312e-05,1.0,1.5032751560211182
192.168.10.23,34.117.65.55,58196.0,443.0,6.0,0.0,0.0179390907287597,0.1495299339294433,0.0411610603332519,0.4447760581970215,0.000324010848999,0.0001568794250488,0.0185880661010742,1.0,0.0003678798675537,0.0002260208129882,0.0185329914093017,1.0,0.0003728866577148,0.0002281665802001,0.0180869102478027
192.168.10.32,40.70.229.150,26668.0,443.0,6.0,0.0,0.1010792255401611,0.0003008842468261,0.0005030632019042,0.1006948947906494,1.2159347534179688e-05,0.0004158020019531,0.0056540966033935,0.1022579669952392,1.0967254638671877e-05,0.0003890991210937,0.0012848377227783,0.000101089477539,7.104873657226562e-05,4.696846008300781e-05,0.0981960296630859
192.168.10.32,52.179.216.235,26669.0,443.0,6.0,0.0,0.1040201187133789,0.0003230571746826,0.0004940032958984,0.1032037734985351,1.3113021850585938e-05,0.0002820491790771,0.00248384475708,0.1022059917449951,1.1205673217773438e-05,0.0003449916839599,0.0015590190887451,9.298324584960938e-05,0.0001049041748046,4.00543212890625e-05,0.1011970043182373
192.168.10.32,52.184.213.187,26670.0,443.0,6.0,0.0,0.1020128726959228,0.0003530979156494,0.0005459785461425,0.1010270118713378,1.1920928955078123e-05,0.000338077545166,0.0027809143066406,0.1006531715393066,1.0967254638671877e-05,0.0005390644073486,0.0019798278808593,0.0001001358032226,0.0001008510589599,0.0001170635223388,0.0990369319915771
192.168.10.32,239.255.255.250,63733.0,3702.0,17.0,0.0,0.2244260311126709,0.450679063796997,0.9002590179443359,1.0,1.0,1.0,1.0,0.2303760051727295,0.4422390460968017,0.8843719959259033,1.0,1.0,1.0,1.0,0.235447883605957
192.168.10.150,239.255.255.250,1900.0,1900.0,17.0,0.0,0.0001230239868164,9.298324584960938e-05,0.0001490116119384,8.58306884765625e-05,0.0001161098480224,1.0,8.320808410644531e-05,4.100799560546875e-05,6.794929504394531e-05,0.0001039505004882,0.0001039505004882,1.0,0.000101089477539,9.083747863769533e-05,8.702278137207031e-05
192.168.10.23,142.251.36.106,48816.0,443.0,6.0,0.0,0.0186898708343505,0.0001630783081054,0.000856876373291,7.510185241699219e-05,0.0001158714294433,0.0180120468139648,1.2159347534179688e-05,0.000133991241455,0.0154798030853271,7.152557373046875e-06,2.09808349609375e-05,3.695487976074219e-05,9.5367431640625e-07,6.198883056640625e-05,4.410743713378906e-05
192.168.10.32,51.104.136.2,26671.0,443.0,6.0,0.0,0.0335779190063476,0.0002930164337158,0.0011439323425292,0.0342671871185302,0.0001089572906494,1.1920928955078123e-05,0.0001981258392333,0.0038700103759765,0.0333340167999267,1.1920928955078123e-05,0.0003190040588378,0.022022008895874,9.298324584960938e-05,0.0001108646392822,0.0313420295715332
192.168.10.32,51.104.136.2,26672.0,443.0,6.0,0.0,0.0337522029876709,0.0003159046173095,0.0003719329833984,0.0332591533660888,0.0008440017700195,1.2874603271484377e-05,0.0003509521484375,0.0026869773864746,0.0331971645355224,1.0013580322265623e-05,0.0002949237823486,0.0010080337524414,0.000101089477539,0.0001189708709716,0.0315940380096435
192.168.10.32,52.184.214.53,26674.0,443.0,6.0,0.0,0.1016380786895752,0.0003540515899658,0.0005550384521484,0.1016759872436523,0.0004279613494873,0.0002779960632324,0.0107810497283935,0.1017079353332519,1.2874603271484377e-05,0.0004560947418212,0.0026021003723144,0.0001828670501708,0.0001859664916992,0.0001530647277832,0.09977388381958
192.168.10.135,35.159.42.141,42628.0,443.0,6.0,0.0,0.0158061981201171,0.0003049373626708,0.0091900825500488,0.0142238140106201,0.001216173171997,2.47955322265625e-05,0.0001330375671386,0.0001280307769775,0.0,4.315376281738281e-05,6.699562072753906e-05,4.792213439941406e-05,0.0001039505004882,1.5974044799804688e-05,2.312660217285156e-05
192.168.10.32,52.182.143.209,26675.0,443.0,6.0,0.0,0.1360359191894531,0.0005419254302978,0.001000165939331,0.1314389705657959,4.601478576660156e-05,0.0001299381256103,1.1920928955078123e-05,0.000460147857666,0.0077219009399414,0.1302919387817382,0.0001239776611328,0.0003299713134765,0.0046350955963134,0.0001389980316162,0.0001680850982666
